externalId,firstName,lastName,fullName,team,league,position,nationality,birthYear,heightCm,weightKg,shoots,games,goals,assists,points,gaa,savePct,source,sourceUrl,lastUpdated
ep-goalie-shl-tobias-normann,Tobias,Normann,Tobias Normann,Frölunda HC,SHL,G,,,,,,24,0,0,0,1.68,0.923,EliteProspects,https://www.eliteprospects.com/league/shl/stats/2025-2026?view=goalie&tab=goalies,2026-05-13
ep-goalie-shl-strauss-mann,Strauss,Mann,Strauss Mann,Skellefteå AIK,SHL,G,,,,,,42,0,0,0,1.93,0.914,EliteProspects,https://www.eliteprospects.com/league/shl/stats/2025-2026?view=goalie&tab=goalies,2026-05-13
ep-goalie-shl-frederik-dichow,Frederik,Dichow,Frederik Dichow,HV71,SHL,G,,,,,,10,0,0,0,2.4,0.912,EliteProspects,https://www.eliteprospects.com/league/shl/stats/2025-2026?view=goalie&tab=goalies,2026-05-13
ep-goalie-shl-oskar-blomgren,Oskar,Blomgren,Oskar Blomgren,Malmö Redhawks,SHL,G,,,,,,21,0,0,0,2.5,0.911,EliteProspects,https://www.eliteprospects.com/league/shl/stats/2025-2026?view=goalie&tab=goalies,2026-05-13
ep-goalie-shl-christoffer-rifalk,Christoffer,Rifalk,Christoffer Rifalk,Rögle BK,SHL,G,,,,,,19,0,0,0,1.76,0.911,EliteProspects,https://www.eliteprospects.com/league/shl/stats/2025-2026?view=goalie&tab=goalies,2026-05-13
ep-goalie-shl-lars-johansson,Lars,Johansson,Lars Johansson,Frölunda HC,SHL,G,,,,,,28,0,0,0,2.13,0.908,EliteProspects,https://www.eliteprospects.com/league/shl/stats/2025-2026?view=goalie&tab=goalies,2026-05-13
ep-goalie-shl-adam-åhman,Adam,Åhman,Adam Åhman,Växjö Lakers HC,SHL,G,,,,,,32,0,0,0,2.18,0.907,EliteProspects,https://www.eliteprospects.com/league/shl/stats/2025-2026?view=goalie&tab=goalies,2026-05-13
ep-goalie-shl-magnus-hellberg,Magnus,Hellberg,Magnus Hellberg,Djurgårdens IF,SHL,G,,,,,,40,0,0,0,2.72,0.904,EliteProspects,https://www.eliteprospects.com/league/shl/stats/2025-2026?view=goalie&tab=goalies,2026-05-13
ep-goalie-shl-erik-källgren,Erik,Källgren,Erik Källgren,Brynäs IF,SHL,G,,,,,,15,0,0,0,2.06,0.904,EliteProspects,https://www.eliteprospects.com/league/shl/stats/2025-2026?view=goalie&tab=goalies,2026-05-13
ep-goalie-shl-marek-langhamer,Marek,Langhamer,Marek Langhamer,Malmö Redhawks,SHL,G,,,,,,28,0,0,0,2.75,0.903,EliteProspects,https://www.eliteprospects.com/league/shl/stats/2025-2026?view=goalie&tab=goalies,2026-05-13
